ID,Title,Abstract
1,"Habitat Fragmentation and Movement Patterns of Polar Bears in Response to Sea Ice Loss","This study investigates how declining Arctic sea ice affects polar bear movement using GPS telemetry data from 40 individuals across three subpopulations. Results indicate increased travel distances and altered seasonal migration patterns, suggesting that habitat fragmentation is forcing polar bears to expend more energy in search of stable hunting grounds."
2,"Dietary Shifts in Polar Bears as a Response to Declining Seal Availability","Using stable isotope analysis and scat surveys, this research documents changes in polar bear diets over the past two decades. Findings show an increasing reliance on terrestrial food sources such as bird eggs and vegetation, which may not provide sufficient caloric intake for long-term survival in the absence of seal prey."
3,"Assessing the Impact of Climate Change on Polar Bear Denning Behavior","Climate warming is altering snow cover dynamics critical for successful polar bear denning. This study evaluates den site fidelity and thermal insulation properties of dens under varying snow conditions. Results suggest that warmer winters are reducing den stability and increasing cub mortality risk."
4,"The Role of Genetic Diversity in Polar Bear Adaptation to Rapid Environmental Change","Genetic diversity is crucial for species resilience to environmental stressors. This genomic study of 100 polar bears across the Arctic reveals moderate genetic variation but identifies isolated populations at risk due to reduced gene flow, emphasizing the need for conservation strategies that maintain genetic connectivity."
5,"Evaluating Human-Polar Bear Conflicts in Coastal Communities Under Changing Sea Ice Conditions","As sea ice retreats, polar bears are spending more time near human settlements, leading to increased conflict. This case study from five Arctic communities analyzes incident reports and mitigation strategies, showing that proactive measures such as deterrent systems and community education significantly reduce negative encounters."
6,"Thermoregulation and Energy Expenditure in Swimming Polar Bears","Prolonged swimming has become more common for polar bears due to longer distances between sea ice floes. Using accelerometers and biologging devices, this study estimates energy costs of long-distance swims and finds that while adult bears can manage short swims, extended journeys may be energetically unsustainable for cubs and weaker individuals."
7,"Population Trends of Polar Bears in the Southern Beaufort Sea (2001–2023)","Aerial and mark-recapture surveys were used to assess population trends in one of the most studied polar bear subpopulations. Results show a decline of approximately 40% since 2001, correlating with significant reductions in sea ice duration and associated declines in body condition and reproductive success."
8,"The Use of Drones for Non-Invasive Monitoring of Polar Bear Populations","This study explores the feasibility of using unmanned aerial vehicles (UAVs) for monitoring polar bear abundance and behavior without disturbing natural activity. Drone footage provided accurate counts and behavioral data, with minimal visible reaction from observed bears, supporting their use as a safe and effective survey tool."
9,"Cub Survival Rates in Relation to Maternal Body Condition and Sea Ice Availability","Maternal health plays a key role in cub survival. This longitudinal study links satellite-derived body condition indices of female polar bears to cub survival rates. Bears in poor condition during breeding seasons had significantly lower cub survival, likely due to inadequate fat stores for lactation and protection in early life stages."
10,"Mercury Levels in Polar Bears Across the Circumpolar Arctic","Polar bears are apex predators and bioindicators of contaminant levels in Arctic ecosystems. This study measures mercury concentrations in tissue samples from 60 polar bears across six regions. Mercury levels were found to exceed thresholds linked to neurotoxic effects, raising concerns about ecosystem-wide contamination and its impacts on top predators."
